(dz.name)
"""Opsismodysplasia"""
"""Orofaciodigital syndrome type 2"""
"""Orofaciodigital syndrome type 6"""
"""Ogden syndrome"""
"""Osteoporosis-pseudoglioma syndrome"""
"""Lateral meningocele syndrome"""
"""Vitamin B12-responsive methylmalonic acidemia"""
"""ALG11-CDG"""
"""Septopreoptic holoprosencephaly"""
"""X-linked sideroblastic anemia and spinocerebellar ataxia"""
"""Pelizaeus-Merzbacher disease, connatal form"""
"""Pelizaeus-Merzbacher disease, classic form"""
"""Pelizaeus-Merzbacher disease in female carriers"""
"""Multiple congenital anomalies-hypotonia-seizures syndrome"""
"""Severe intellectual disability and progressive spastic paraplegia"""
"""Wrinkly skin syndrome"""
"""PEHO syndrome"""
"""Xp22.13p22.2 duplication syndrome"""
"""Infantile-onset autosomal recessive nonprogressive cerebellar ataxia"""
"""Pontocerebellar hypoplasia type 7"""
"""Phosphoserine aminotransferase deficiency, infantile/juvenile form"""
"""Perlman syndrome"""
"""Neonatal Marfan syndrome"""
"""Short stature-valvular heart disease-characteristic facies syndrome"""
"""Classical Ehlers-Danlos syndrome"""
"""Piebaldism"""
"""Hypocalcemic vitamin D-dependent rickets"""
"""Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation"""
"""Combined malonic and methylmalonic acidemia"""
"""Pitt-Hopkins syndrome"""
"""Vitamin B12-unresponsive methylmalonic acidemia type mut0"""
"""Mevalonic aciduria"""
"""Methylmalonic acidemia without homocystinuria"""
"""Blepharophimosis-intellectual disability syndrome, MKB type"""
"""X-linked intellectual disability-dysmorphism-cerebral atrophy syndrome"""
"""De Barsy syndrome"""
"""Peroxisomal acyl-CoA oxidase deficiency"""
"""Pterygium colli-intellectual disability-digital anomalies syndrome"""
"""Kyphoscoliotic Ehlers-Danlos syndrome due to FKBP22 deficiency"""
"""11p15.4 microduplication syndrome"""
"""DDOST-CDG"""
"""Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation"""
"""Polymicrogyria due to TUBB2B mutation"""
"""Intellectual disability-balding-patella luxation-acromicria syndrome"""
"""Blepharophimosis-intellectual disability syndrome, SBBYS type"""
"""X-linked intellectual disability, Snyder type"""
"""Severe X-linked intellectual disability, Gustavson type"""
"""Glycogen storage disease due to acid maltase deficiency, infantile onset"""
"""Atypical Rett syndrome"""
"""Sarcosinemia"""
"""Alpha-N-acetylgalactosaminidase deficiency"""
"""Xq12-q13.3 duplication syndrome"""
"""Intellectual disability-hypotonia-brachycephaly-pyloric stenosis-cryptorchidism syndrome"""
"""Non-progressive cerebellar ataxia with intellectual disability"""
"""Cerebrofacioarticular syndrome"""
"""Severe Canavan disease"""
"""Mild Canavan disease"""
"""X-linked non progressive cerebellar ataxia"""
"""Sialuria"""
"""Wiedemann-Steiner syndrome"""
"""Autosomal recessive spastic paraplegia type 43"""
"""Hereditary sensory and autonomic neuropathy due to TECPR2 mutation"""
"""Stüve-Wiedemann syndrome"""
"""Isolated succinate-CoQ reductase deficiency"""
"""Phosphoribosylpyrophosphate synthetase superactivity"""
"""ALG13-CDG"""
"""Hyperinsulinism due to HNF1A deficiency"""
"""Benign Samaritan congenital myopathy"""
"""Familial dyskinesia and facial myokymia"""
"""Filippi syndrome"""
"""Congenital muscular dystrophy with intellectual disability and severe epilepsy"""
"""Intellectual disability-craniofacial dysmorphism-cryptorchidism syndrome"""
"""Autosomal recessive frontotemporal pachygyria"""
"""Congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome"""
"""Dravet syndrome"""
"""Farber disease"""
"""Trichothiodystrophy"""
"""Toriello-Lacassie-Droste syndrome"""
"""Arterial tortuosity syndrome"""
"""FKRP-related  limb-girdle muscular dystrophy R9"""
"""Yunis-Varon syndrome"""
"""Zimmermann-Laband syndrome"""
"""Fructose-1,6-bisphosphatase deficiency"""
"""Fucosidosis"""
"""Infantile neuroaxonal dystrophy"""
"""DNA2-related mitochondrial DNA deletion syndrome"""
"""Autism spectrum disorder due to AUTS2 deficiency"""
"""Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome"""
"""Progressive myoclonic epilepsy with dystonia"""
"""Brain dopamine-serotonin vesicular transport disease"""
"""Roifman syndrome"""
"""Congenital myasthenic syndromes with glycosylation defect"""
"""GM1 gangliosidosis"""
"""Gaucher disease"""
"""ANK3-related intellectual disability-sleep disturbance syndrome"""
"""Autosomal recessive cutis laxa type 2A"""
"""Autosomal recessive cutis laxa type 2, classic type"""
"""Short ulna-dysmorphism-hypotonia-intellectual disability syndrome"""
"""Imerslund-Gräsbeck syndrome"""
"""Autosomal recessive cerebellar ataxia-pyramidal signs-nystagmus-oculomotor apraxia syndrome"""
"""Autosomal recessive congenital cerebellar ataxia due to GRID2 deficiency"""
"""Intellectual disability-strabismus syndrome"""
"""CTCF-related neurodevelopmental disorder"""
"""GMPPB-related  limb-girdle muscular dystrophy R19"""
"""Severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome"""
"""Generalized epilepsy with febrile seizures-plus"""
"""17q21.31 microdeletion syndrome"""
"""Koolen-De Vries syndrome due to a point mutation"""
"""Glycogen storage disease due to glucose-6-phosphatase deficiency"""
"""X-linked intellectual disability due to GRIA3 mutations"""
"""Glycogen storage disease due to acid maltase deficiency"""
"""Glycogen storage disease due to glycogen branching enzyme deficiency"""
"""Glycogen storage disease due to liver glycogen phosphorylase deficiency"""
"""Intellectual disability-seizures-hypophosphatasia-ophthalmic-skeletal anomalies syndrome"""
"""TRAPPC11-related  limb-girdle muscular dystrophy R18"""
"""Intellectual disability-hyperkinetic movement-truncal ataxia syndrome"""
"""Obesity due to SIM1 deficiency"""
"""Developmental delay-facial dysmorphism syndrome due to MED13L deficiency"""
"""Glycogen storage disease due to phosphorylase kinase deficiency"""
"""Ataxia-intellectual disability-oculomotor apraxia-cerebellar cysts syndrome"""
"""STT3A-CDG"""
"""STT3B-CDG"""
"""SSR4-CDG"""
"""Congenital muscular dystrophy with intellectual disability"""
"""Congenital muscular dystrophy without intellectual disability"""
"""Hypotonia-speech impairment-severe cognitive delay syndrome"""
"""Simpson-Golabi-Behmel syndrome"""
"""Griscelli syndrome"""
"""Guanidinoacetate methyltransferase deficiency"""
"""Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome"""
"""HSD10 disease"""
"""HSD10 disease, infantile type"""
"""Homocystinuria due to methylene tetrahydrofolate reductase deficiency"""
"""Macrocephaly-developmental delay syndrome"""
"""Intellectual disability-coarse face-macrocephaly-cerebellar hypotrophy syndrome"""
"""Joubert syndrome with Jeune asphyxiating thoracic dystrophy"""
"""Severe intellectual disability-progressive postnatal microcephaly-midline stereotypic hand movements syndrome"""
"""MAN1B1-CDG"""
"""Optic atrophy-intellectual disability syndrome"""
"""Childhood-onset spasticity with hyperglycinemia"""
"""MEND syndrome"""
"""Intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency"""
"""Tatton-Brown-Rahman syndrome"""
"""Alacrimia-choreoathetosis-liver dysfunction syndrome"""
"""Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to TUD deficiency"""
"""Glycine encephalopathy"""
"""Isolated glycerol kinase deficiency"""
"""Pontocerebellar hypoplasia type 10"""
"""Severe phosphoribosylpyrophosphate synthetase superactivity"""
"""Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome"""
"""AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome"""
"""Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome"""
"""Medium chain acyl-CoA dehydrogenase deficiency"""
"""Temple-Baraitser syndrome"""
"""Cono-spondylar dysplasia"""
"""X-linked intellectual disability-limb spasticity-retinal dystrophy-diabetes insipidus syndrome"""
"""Congenital myopathy with myasthenic-like onset"""
"""PHACE syndrome"""
"""Progressive encephalopathy with leukodystrophy due to DECR deficiency"""
"""Orofaciodigital syndrome type 14"""
"""X-linked microcephaly-growth retardation-prognathism-cryptorchidism syndrome"""
"""Hypophosphatasia"""
"""Severe intellectual disability-hypotonia-strabismus-coarse face-planovalgus syndrome"""
"""Non-progressive predominantly posterior cavitating leukoencephalopathy with peripheral neuropathy"""
"""RARS-related autosomal recessive hypomyelinating leukodystrophy"""
"""KCNQ2-related epileptic encephalopathy"""
"""Neonatal adrenoleukodystrophy"""
"""Familial colorectal cancer Type X"""
"""Congenital hypothyroidism"""
"""Combined oxidative phosphorylation defect type 23"""
"""3-methylglutaconic aciduria type 7"""
"""Autosomal dominant spastic paraplegia type 9B"""
"""Spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome"""
"""Symptomatic form of fragile X syndrome in female carriers"""
"""X-linked lissencephaly with abnormal genitalia"""
"""Congenital insensitivity to pain with severe intellectual disability"""
"""Autosomal recessive cerebellar ataxia due to CWF19L1 deficiency"""
"""Infantile multisystem neurologic-endocrine-pancreatic disease"""
"""Autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome"""
"""Infantile-onset axonal motor and sensory neuropathy-optic atrophy-neurodegenerative syndrome"""
"""X-linked intellectual disability-short stature-overweight syndrome"""
"""X-linked intellectual disability-hypotonia-movement disorder syndrome"""
"""Intellectual disability-macrocephaly-hypotonia-behavioral abnormalities syndrome"""
"""Microcephaly-corpus callosum hypoplasia-intellectual disability-facial dysmorphism syndrome"""
"""Microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome"""
"""Megalencephaly-severe kyphoscoliosis-overgrowth syndrome"""
"""Progressive spondyloepimetaphyseal dysplasia-short stature-short fourth metatarsals-intellectual disability syndrome"""
"""Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome"""
"""Autosomal recessive spastic paraplegia type 75"""
"""X-linked intellectual disability-cerebellar hypoplasia-spondylo-epiphyseal dysplasia syndrome"""
"""Adenylosuccinate lyase deficiency"""
"""Lathosterolosis"""
"""Incontinentia pigmenti"""
"""Spastic paraplegia-severe developmental delay-epilepsy syndrome"""
"""Short stature-brachydactyly-obesity-global developmental delay syndrome"""
"""Basel-Vanagaite-Smirin-Yosef syndrome"""
"""Autosomal recessive spastic paraplegia type 77"""
"""Autosomal dominant Charcot-Marie-Tooth disease type 2Z"""
"""Macrocephaly-intellectual disability-left ventricular non compaction syndrome"""
"""Seizures-scoliosis-macrocephaly syndrome"""
"""VPS11-related autosomal recessive hypomyelinating leukodystrophy"""
"""Intellectual disability-epilepsy-extrapyramidal syndrome"""
"""Microcephalic cortical malformations-short stature due to RTTN deficiency"""
"""White-Sutton syndrome"""
"""SLC39A8-CDG"""
"""Lysinuric protein intolerance"""
"""Joubert syndrome"""
"""Postnatal microcephaly-infantile hypotonia-spastic diplegia-dysarthria-intellectual disability syndrome"""
"""Kallmann syndrome"""
"""X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability"""
"""X-linked intellectual disability-global development delay-facial dysmorphism-sacral caudal remnant syndrome"""
"""Kennedy disease"""
"""TELO2-related intellectual disability-neurodevelopmental disorder"""
"""RERE-related neurodevelopmental syndrome"""
"""Early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome"""
"""Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency"""
"""Aicardi syndrome"""
"""Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome"""
"""Microcephaly-corpus callosum and cerebellar vermis hypoplasia-facial dysmorphism-intellectual disability syndrom"""
"""Childhood-onset motor and cognitive regression syndrome with extrapyramidal movement disorder"""
"""Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome"""
"""Trichorhinophalangeal syndrome type 2"""
"""3-methylglutaconic aciduria type 9"""
"""Leigh syndrome"""
"""Leprechaunism"""
"""Microlissencephaly-micromelia syndrome"""
"""Zellweger-like syndrome without peroxisomal anomalies"""
"""Duane anomaly-myopathy-scoliosis syndrome"""
"""Aicardi-Goutières syndrome"""
"""Maple syrup urine disease"""
"""Ethylmalonic encephalopathy"""
"""Metachromatic leukodystrophy"""
"""Congenital cerebellar ataxia due to RNU12 mutation"""
"""Dystonia-parkinsonism-hypermanganesemia syndrome"""
"""NKX6-2-related autosomal recessive hypomyelinating leukodystrophy"""
"""Non-specific syndromic intellectual disability"""
"""Neurodevelopmental delay-seizures-ophthalmic anomalies-osteopenia-cerebellar atrophy syndrome"""
"""Intellectual disability-autism-speech apraxia-craniofacial dysmorphism syndrome"""
"""Lamb-Shaffer syndrome"""
"""Oculocerebrorenal syndrome of Lowe"""
"""B3GALT6-related spondylodysplastic Ehlers-Danlos syndrome"""
"""Myopathic Ehlers-Danlos syndrome"""
"""Classical-like Ehlers-Danlos syndrome type 2"""
"""Growth delay-intellectual disability-hepatopathy syndrome"""
"""GNB5-related intellectual disability-cardiac arrhythmia syndrome"""
"""Optic atrophy-ataxia-peripheral neuropathy-global developmental delay syndrome"""
"""SYNGAP1-related developmental and epileptic encephalopathy"""
"""Marfan syndrome"""
"""Marinesco-Sjögren syndrome"""
"""Menkes disease"""
"""Combined oxidative phosphorylation defect type 39"""
"""22q11.2 deletion syndrome"""
"""Moebius syndrome"""
"""Mucolipidosis type II"""
"""Mucolipidosis type IV"""
"""Alexander disease"""
"""Mucopolysaccharidosis type 7"""
"""Multiple sulfatase deficiency"""
"""Muscle-eye-brain disease"""
"""Allan-Herndon-Dudley syndrome"""
"""Congenital myasthenic syndrome"""
"""Centronuclear myopathy"""
"""X-linked centronuclear myopathy"""
"""Central core disease"""
"""Multiminicore myopathy"""
"""3-methylcrotonyl-CoA carboxylase deficiency"""
"""Alpha-mannosidosis"""
"""Homocystinuria without methylmalonic aciduria"""
"""Diastrophic dysplasia"""
"""Giant axonal neuropathy"""
"""Niemann-Pick disease type C"""
"""Noonan syndrome"""
"""Norrie disease"""
"""Leber congenital amaurosis"""
"""Goldberg-Shprintzen megacolon syndrome"""
"""Dilated cardiomyopathy with ataxia"""
"""3-methylglutaconic aciduria type 4"""
"""Paramyotonia congenita of Von Eulenburg"""
"""3C syndrome"""
"""Proximal spinal muscular atrophy"""
"""Pelizaeus-Merzbacher disease"""
"""Congenital lactic acidosis, Saguenay-Lac-Saint-Jean type"""
"""Leigh syndrome with cardiomyopathy"""
"""Dopa-responsive dystonia due to sepiapterin reductase deficiency"""
"""Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency"""
"""Alpers-Huttenlocher syndrome"""
"""Visceral neuropathy-brain anomalies-facial dysmorphism-developmental delay syndrome"""
"""Mitochondrial trifunctional protein deficiency"""
"""B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome"""
"""Congenital muscular dystrophy, Ullrich type"""
"""MORM syndrome"""
"""Purine nucleoside phosphorylase deficiency"""
"""Infantile Refsum disease"""
"""Trichorhinophalangeal syndrome type 1 and 3"""
"""Refsum disease"""
"""Lujan-Fryns syndrome"""
"""Rett syndrome"""
"""Pyridoxal phosphate-responsive seizures"""
"""Generalized epilepsy-paroxysmal dyskinesia syndrome"""
"""Isobutyryl-CoA dehydrogenase deficiency"""
"""Crigler-Najjar syndrome type 1"""
"""Galactose epimerase deficiency"""
"""Glycogen storage disease due to liver and muscle phosphorylase kinase deficiency"""
"""Biotinidase deficiency"""
"""Holocarboxylase synthetase deficiency"""
"""Pyruvate dehydrogenase E1-alpha deficiency"""
"""Pyruvate dehydrogenase phosphatase deficiency"""
"""GM1 gangliosidosis type 1"""
"""Alpha-N-acetylgalactosaminidase deficiency type 1"""
"""Methylmalonic acidemia with homocystinuria, type cblC"""
"""Methylmalonic acidemia with homocystinuria type cblF"""
"""Vitamin B12-unresponsive methylmalonic acidemia type mut-"""
"""L-2-hydroxyglutaric aciduria"""
"""PMM2-CDG"""
"""ALG6-CDG"""
"""ALG3-CDG"""
"""DPM1-CDG"""
"""MPDU1-CDG"""
"""ALG12-CDG"""
"""ALG8-CDG"""
"""ALG1-CDG"""
"""ALG9-CDG"""
"""MGAT2-CDG"""
"""MOGS-CDG"""
"""B4GALT1-CDG"""
"""COG7-CDG"""
"""DOORS syndrome"""
"""Autosomal recessive hyperinsulinism due to Kir6.2 deficiency"""
"""Sialidosis type 1"""
"""Sjögren-Larsson syndrome"""
"""Smith-Lemli-Opitz syndrome"""
"""Smith-Magenis syndrome"""
"""Sotos syndrome"""
"""Stickler syndrome"""
"""Free sialic acid storage disease"""
"""CAMOS syndrome"""
"""Tay-Sachs disease"""
"""Alpha-thalassemia-X-linked intellectual disability syndrome"""
"""IMAGe syndrome"""
"""Spondylo-ocular syndrome"""
"""X-linked intellectual disability, Cantagrel type"""
"""MEHMO syndrome"""
"""X-linked intellectual disability, Schimke type"""
"""X-linked spinocerebellar ataxia type 3"""
"""X-linked intellectual disability-epilepsy-progressive joint contractures-dysmorphism syndrome"""
"""X-linked intellectual disability, Stevenson type"""
"""X-linked intellectual disability-hypotonia-facial dysmorphism-aggressive behavior syndrome"""
"""X-linked neurodegenerative syndrome, Bertini type"""
"""Fried syndrome"""
"""DPAGT1-CDG"""
"""Triose phosphate-isomerase deficiency"""
"""POMT1-related  limb-girdle muscular dystrophy R11"""
"""Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome"""
"""Triple A syndrome"""
"""Sialidosis type 2"""
"""Autosomal recessive non-syndromic intellectual disability"""
"""S-adenosylhomocysteine hydrolase deficiency"""
"""Posterior column ataxia-retinitis pigmentosa syndrome"""
"""Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency"""
"""Autosomal recessive ataxia, Beauce type"""
"""Walker-Warburg syndrome"""
"""Infantile Bartter syndrome with sensorineural deafness"""
"""Mandibuloacral dysplasia with type A lipodystrophy"""
"""Cockayne syndrome type 2"""
"""Autosomal dominant cutis laxa"""
"""Autosomal recessive cutis laxa type 2"""
"""Brittle cornea syndrome"""
"""Williams syndrome"""
"""Hypothyroidism due to TSH receptor mutations"""
"""Isolated thyroid-stimulating hormone deficiency"""
"""Fragile X syndrome"""
"""Cardiomyopathy-hypotonia-lactic acidosis syndrome"""
"""DK1-CDG"""
"""Zellweger syndrome"""
"""Hyperammonemia due to N-acetylglutamate synthase deficiency"""
"""Spondylometaphyseal dysplasia, Sedaghatian type"""
"""Juvenile sialidosis type 2"""
"""Congenital sialidosis type 2"""
"""Hurler syndrome"""
"""FG syndrome type 1"""
"""Severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia"""
"""D-glyceric aciduria"""
"""Cerebellar ataxia, Cayman type"""
"""Recessive mitochondrial ataxia syndrome"""
"""Spinocerebellar ataxia type 7"""
"""COG8-CDG"""
"""Athyreosis"""
"""Familial thyroid dyshormonogenesis"""
"""Koolen-De Vries syndrome"""
"""Riboflavin transporter deficiency"""
"""Rigid spine syndrome"""
"""Bohring-Opitz syndrome"""
"""Spinocerebellar ataxia type 1"""
"""Spinocerebellar ataxia type 2"""
"""Spinocerebellar ataxia type 10"""
"""Spinocerebellar ataxia type 14"""
"""Spinocerebellar ataxia type 13"""
"""Prader-Willi syndrome due to paternal 15q11q13 deletion"""
"""Autosomal dominant Emery-Dreifuss muscular dystrophy"""
"""Autosomal recessive Emery-Dreifuss muscular dystrophy"""
"""X-linked Emery-Dreifuss muscular dystrophy"""
"""Amish nemaline myopathy"""
"""Neutral lipid storage myopathy"""
"""Presynaptic congenital myasthenic syndromes"""
"""Myotonia fluctuans"""
"""Amish lethal microcephaly"""
"""Haddad syndrome"""
"""Leukocyte adhesion deficiency type II"""
"""Isolated permanent neonatal diabetes mellitus"""
"""Ermine phenotype"""
"""Acyl-CoA dehydrogenase 9 deficiency"""
"""Charcot-Marie-Tooth disease type 4A"""
